pisode: 0, steps: 0, FPS: 1.0
Episode: 420, steps: 41166, FPS: 7.977328233715006
Episode: 421, steps: 41266, FPS: 8.17605691037532
Episode: 422, steps: 41366, FPS: 7.559948159911348
Episode: 423, steps: 41466, FPS: 8.12151921604073
Episode: 424, steps: 41505, FPS: 7.382082464064017
Episode: 425, steps: 41605, FPS: 8.866820379955842
Episode: 426, steps: 41705, FPS: 8.657097330916681
Episode: 427, steps: 41805, FPS: 7.15187986649995
Episode: 428, steps: 41891, FPS: 6.743902063989592
Episode: 429, steps: 41991, FPS: 7.352784421781663
Episode: 430, steps: 42091, FPS: 7.489587172605805
Episode: 431, steps: 42191, FPS: 8.254510936277411
Episode: 432, steps: 42291, FPS: 7.874652362551646
Episode: 433, steps: 42391, FPS: 7.311128358875803
Episode: 434, steps: 42491, FPS: 6.574815068889133
Episode: 435, steps: 42591, FPS: 6.745496433534716
Episode: 436, steps: 42691, FPS: 7.145037076127179
Episode: 437, steps: 42791, FPS: 7.596676988351455
Episode: 438, steps: 42891, FPS: 7.1845085521362915
Episode: 439, steps: 42991, FPS: 7.083019906522631
Episode: 440, steps: 43091, FPS: 7.612558191522663
Episode: 441, steps: 43191, FPS: 7.043235160971766
Episode: 442, steps: 43291, FPS: 7.189716996078557
Episode: 443, steps: 43391, FPS: 7.021203460886818
Episode: 444, steps: 43491, FPS: 7.019958636692838
Episode: 445, steps: 43540, FPS: 6.125575059844897
Episode: 446, steps: 43640, FPS: 7.273550648835511
Episode: 447, steps: 43740, FPS: 7.6393292728229865
Episode: 448, steps: 43840, FPS: 7.6642279704922
Episode: 449, steps: 43940, FPS: 7.9289352781500515
Episode: 450, steps: 44040, FPS: 7.124951802999642
Episode: 451, steps: 44140, FPS: 7.531565776505641
Episode: 452, steps: 44240, FPS: 7.814916669547588
Episode: 453, steps: 44340, FPS: 7.312287371739498
Episode: 454, steps: 44440, FPS: 7.94275132710835
Episode: 455, steps: 44540, FPS: 7.589202985421213
Episode: 456, steps: 44640, FPS: 7.135712529081892
Episode: 457, steps: 44740, FPS: 7.212073832960507
Episode: 458, steps: 44840, FPS: 7.495489680483927
Episode: 459, steps: 44940, FPS: 7.635726156938368
Episode: 460, steps: 45040, FPS: 6.425434451437318
Episode: 461, steps: 45140, FPS: 7.392679276546011
Episode: 462, steps: 45240, FPS: 8.078957246710043
Episode: 463, steps: 45340, FPS: 6.845547233630219
Episode: 464, steps: 45440, FPS: 6.529917734000353
Episode: 465, steps: 45540, FPS: 6.706373873579718
Episode: 466, steps: 45640, FPS: 6.367115328232333
Episode: 467, steps: 45740, FPS: 4.563219318173715
Episode: 468, steps: 45840, FPS: 4.530460635528596
Episode: 469, steps: 45940, FPS: 4.756985381747039
Episode: 470, steps: 46040, FPS: 4.666248050638749
Episode: 471, steps: 46140, FPS: 4.847289134279334
Episode: 472, steps: 46240, FPS: 4.9023318150684885
Episode: 473, steps: 46340, FPS: 4.948923383381134
Episode: 474, steps: 46356, FPS: 2.9447574825317147
Episode: 475, steps: 46456, FPS: 4.79495864176206
Episode: 476, steps: 46556, FPS: 4.921234679252025
Episode: 477, steps: 46656, FPS: 5.00264624081089
Episode: 478, steps: 46756, FPS: 4.9108857101710255
Episode: 479, steps: 46856, FPS: 4.839723652357515
Episode: 480, steps: 46956, FPS: 4.902141601790367
Episode: 481, steps: 47056, FPS: 4.843310371024187
Episode: 482, steps: 47156, FPS: 4.894863278068165
Episode: 483, steps: 47256, FPS: 4.564177683935789
Episode: 484, steps: 47356, FPS: 4.772555897920532
Episode: 485, steps: 47456, FPS: 5.170728309904054
Episode: 486, steps: 47556, FPS: 6.856136794157695
Episode: 487, steps: 47656, FPS: 7.188799986885787
Episode: 488, steps: 47756, FPS: 8.892737089510549
Episode: 489, steps: 47856, FPS: 7.9712443779284525
Episode: 490, steps: 47956, FPS: 7.964021715996574
Episode: 491, steps: 48056, FPS: 8.802331160209667
Episode: 492, steps: 48057, FPS: 0.7358975474666888
Episode: 493, steps: 48157, FPS: 8.738306729601359
Episode: 494, steps: 48257, FPS: 8.124489532859696
Episode: 495, steps: 48357, FPS: 8.696704514833279
